,person_id,first_name,last_name,full_name,gender,year_of_birth,year_of_death,year_rightist,birthplace,nationality,education,title,workplace,reference,description,chinese_gender
0,A0,Ai,feng ,Ai feng ,male,1933.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,the Communist Party of China,"Excerpted from the “right speech”-“the right” ideological education examination material two, Ai feng: “a constitutional right of reflection” (“Small traces of past events” 15 2009.1.25), etc.
","A Ai feng (1933-), male, formerly known as Qianjiao, Jiang province, people from the city of Jiang province, “Sichuan” Jiang, from the station, the Communist Party of China
",男性
1,A3,Ai,henian Qiannian,Ai henian Qiannian,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,From Wang Tingkui: “Directory of Hard Friends 2016”,"A Ai henian Qiannian, Hubei Province
",未知
2,A4,Ai,jianhua Jianxian,Ai jianhua Jianxian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from Haibo: “The Right” of the South (since printed version 2014.5),"A Ai jianhua Jianxian, Nan Guang Shin
",未知
3,A7,Ai,pixing Pi Xing,Ai pixing Pi Xing,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpt from Hip-Hop: “Chat”,"A Ai pixing Pi Xing, Xiaolian Xiaolian Village, Xiaolian Village
",未知
4,A8,Ai,qingshan ,Ai qingshan ,Unknown,1934.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"From Ai qingshan: “Controlling the atrocities in Northern China in 1945”
","A Ai qingshan (1934-), Shengqian Province, Shenghu City, Xiachanzi, Shen 112 workers
",未知
5,A10,Ai,rongquan ,Ai rongquan ,Unknown,1923.0,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Education Department of Henan Province,Excerpted from Li Su Li: “The Twisting Life of the Right” Wang Miannan,"A Ai rongquan (1923-), Hominians, Henan Province, Education Department of Henan Province
",未知
6,A11,Ai,senlong,Ai senlong,male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from the People's Committee of Bishan: “Bishan Yancheng Tzu four members (right), index name 1958.11.15""","A Ai senlong, male, Sichuan Province, Bishan Yancheng, China
",男性
7,A12,Ai,shangzao Shanghao,Ai shangzao Shanghao,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Hubei Provincial Committee of the CPC: “The whole department of the material 1957.8.29""","A Ai shangzao Shanghao, Gongqing, Hubei Province
",未知
8,A13,Ai,shaoying Ying-Ying,Ai shaoying Ying-Ying,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Department of History of Nan Heng,"Excerpted from the Department of Thought Education and Education: “The Anti Ruling of the Right” (1957.9)
","A Ai shaoying Ying-Ying, Department of History of Nan Heng
",未知
9,A14,Ai,sihaiti Ishakov,Ai sihaiti Ishakov,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Standing Committee of Xinjiang Autonomous Committee of the Communist Party of China,Unknown,"A Ai sihaiti Ishakov, Standing Committee of Xinjiang Autonomous Committee of the Communist Party of China
",未知
10,A16,Ai,tongshan Tongshan ,Ai tongshan Tongshan ,male,1905.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from Zhonghuan: “The History of the Exhibition” (Encyclopedia),"A Ai tongshan Tongshan (1905-?), , male, Sichuan province, a certain unit
",男性
11,A17,Ai,weisheng Sang,Ai weisheng Sang,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Professor,"History Department, NLD Wuyi City Committee","Excerpted from Ding Shu: “”, “Zhong Yuan”, “Anti Right”, etc.
","A Ai weisheng Sang, Associate Professor of History Department, NLD Wuyi City Committee, NLD
",未知
12,A18,Ai,wenchang Wenchang,Ai wenchang Wenchang,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from the Communist Party of China Ganzhao Provincial Committee, the whole office: “Ganshu province industry and business community”","A Ai wenchang Wenchang, Ganzhou City, Ganzhou City, the second automobile company material,, small
",未知
13,A19,Ai,xigang,Ai xigang,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Jilin Provincial Committee of the Communist Party of China: “Jilin Province Right Factors Name 1958""","A Ai xigang
",未知
14,A20,Ai,xinshan ,Ai xinshan ,male,1934.0,Unknown,Unknown,Unknown,Unknown,Unknown,Worker,Shen province,"Excerpted from Jiang Qiao: “Forced Lost”
","A Ai xinshan (1934-), male, Suburbs of Shenghu City, province, people from Kanzi village, Shen province worker
",男性
15,A22,Ai,xuecheng Ching,Ai xuecheng Ching,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpt from Du Dehong, Ji Pei line, Hong: “To the dead and hard resistance to the right bone bone molecules in the end! Part of our hospital is a part of the collection of the Anaurus (Journal, 1957.10.5)","A Ai xuecheng Ching, Sang Sang
",未知
16,A23,Ai,yan Yan,Ai yan Yan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,the People's Liberation of the Political Department,Excerpted from Lai Bai: “Back to the Home Office of the Anti-Right”,"A Ai yan Yan, the People's Liberation of the People's Liberation of the Political Department of the People's Political Department
",未知
17,A24,Ai,yi Heng,Ai yi Heng,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpt from the Communist Party of China (CCP),"A Ai yi Heng, Ikhokuin
",未知
18,A26,Ai,yuhua Yuli,Ai yuhua Yuli,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from Niu Liqu: “The anti-right”,"A Ai yuhua Yuli, Qiang City, Qianjiang
",未知
19,A27,Ai,zhendong Zhenghuan,Ai zhendong Zhenghuan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Qingyi City People's Representative Dagao: “QingCity, the second people's representatives of all walks of life” (Qingmai City)","A Ai zhendong Zhenghuan, the Second People's Representative, Qingmu City, Shanqian Province
",未知
20,A28,An,bangliang Leung,An bangliang Leung,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Jilin Provincial Committee of the Communist Party of China: “Jilin Province Right Factors Name 1958""","A An bangliang Leung
",未知
21,A29,An,bang,An bang,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Jilin Provincial Committee of the Communist Party of China: “Jilin Province Right Factors Name 1958""","A An bang
",未知
22,A30,An,chaozheng,An chaozheng,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from Haibo: “The Right” of the South (since print 2014.5),"A An chaozheng, Yonan Province
",未知
23,A31,An,chuan,An chuan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"A An chuan, fear is the “A” of the, Xu Guangyao: “Last night West”",未知
24,A32,An,daqiang ,An daqiang ,male,1939.0,1968.0,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,FromWang De: “The Famous People of the Cultural Revolution” (manuscript),"A An daqiang (1939-1968), male, Qingmao Daisen
",男性
25,A33,An,enpu ,An enpu ,Unknown,1894.0,1965.0,1958.0,Unknown,Yi,Unknown,Unknown,the people's committee of xinanprovince Commissary,"Excerpted from Haibo: “South “Right” (since the print version 2014.5), the Communist Party of China's Yinan Provincial Committee of the Communist Party of China “Preservation” (September 3, 1957), etc.
","A An enpu (1894-1965), word en pu, formerly known as Tak, renamed Dehua, name en pu , Yi, Xiong Huanhua bamboo gouou people in Qinan province,Minanprovince, the people's committee of the people's committee of xinanprovince Commissary
",未知
26,A34,An,fengzao algae,An fengzao algae,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Forest Industry Bureau of Tonan Province,"Excerpted from the Communist Party Party of China (CCP), Yonan Provincial Committee: “Debunking the face of the rightists”","A An fengzao algae, Forest Industry Bureau of Tonan Province
",未知
27,A35,An,fushun,An fushun,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"A An fushun, Beijing Gongyuan
",未知
28,A36,An,guanbushenjia Bushka,An guanbushenjia Bushka,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from Gan Teng Province: “Zhi Zhi Ganzhi” (Ganzhao People's Publishing House,"A An guanbushenjia Bushka, Political and Ganson Provincial Committee
",未知
29,A37,An,guolong Chuan,An guolong Chuan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from Haibo: “The Right” of the South (since printed version 2014.5),"A An guolong Chuan, Pingqian Public Security Bureau, Nan Province
",未知
30,A38,An,hong Ann,An hong Ann,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Zhongshu Media Dao Publishing House: “The History of the Shadow, 1905-2005” \([0-9]{4}-\)","A An hong Ann, Shadow
",未知
31,A39,An,jingbin,An jingbin,male,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Chinese Department of Jiaozhou,Excerpted from Xu: “Cheng-a man of the right life”,"A An jingbin, male, from West Province, three yearsof the Chinese Department of Jiaozhou
",男性
32,A40,An,keshi,An keshi,male,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from the Henan Qinqian Committee of the Communist Party of China (1979.2),"A An keshi, male, Henan Qinqian business bureau
",男性
33,A41,An,ke,An ke,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,The Communist Party of China's Qinghai Provincial Public Security Administration Committee: “Preliminary anti-right”,"A An ke, Qinghai Provincial Public Security and Reform Administration Department
",未知
34,A42,An,ku,An ku,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Shanxi Provincial Committee of the Communist Party of China: “”, “put” set (4)” (1957.11), Juchuan: “Shanxi Provincial Education School and Provincial Correspondence Instruction The skins of 47 right-wing right-wing elements including Guohuang Tianyuan were removed (Shanxi Rizu 1957.9.2)","A An ku, Shanxi Province Education Department, Shizi Street finished primary school, Catholics
",未知
35,A43,An,liqun Qun,An liqun Qun,Unknown,Unknown,Unknown,1958.0,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from the Dongshui branch of Gongqing city, Hefei city: “048.1.0030.011 In addition to the right Thought An liqun group 1958.04.14 branch [1958] 7 Dong Shui Branch 6》","A An liqun Qun, Hefei City, Anhui Province Dong Shuiyuan Department, Gongqing
",未知
36,A44,An,lisui ,An lisui ,Unknown,1900.0,1960.0,Unknown,Unknown,Unknown,Unknown,Director,the Minkwa Gansu Provincial Committee,"From Ann: “Back to my father Anritsu”,: “bumpy life” ( http://www.shaji.3126.net/zswj/kkdys/kkdys.htm)等
","A An lisui (1900-1960), Zi Jinghou, Jingtai people in Gansu province; Ganqian Provincial People's Government, deputy director of the Minkwa Gansu Provincial Committee
",未知
37,A45,An,longzhang Zhang,An longzhang Zhang,male,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from Kang Yuxiong: “My Conviction-Shiseishi”,"A An longzhang Zhang, male, heavy city people, tooth
",男性
38,A46,An,maogen ,An maogen ,male,1923.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from Amogen: “My Right” (Wuyi Sanmao Room),"A An maogen (1923-?), , male, Beijing people, Suiyandi, Sichuan Province, China People's Court
",男性
39,A47,An,qisheng,An qisheng,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Siu Siu Sun, Mengxian: “The most rightists of the name of the rightists”","A An qisheng, Western Province
",未知
40,A48,An,ruicong ,An ruicong ,male,1926.0,Unknown,1958.0,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Jiaozhou Provincial Government: “Policy”
","A An ruicong (1926-), male, Qianzhou province
",男性
41,A49,An,rutao ,An rutao ,male,1915.0,Unknown,1957.0,Unknown,Unknown,Unknown,Deputy,the Ministry of inspection (10),"Excerpted from Chong Dao: “A Case of the People's Happiness”: “The Right” Exiled from Beidahuang from March 1958 to March 1961 (May 7), Society Publishing Corporation 2011), the Ministry of the People's Republic of China and the People's Republic of China and China (1958.2.16)
","A An rutao (1915-?), , male, Shanxi province Yuanqu people, the landlord of family origin, I make a living, the first deputy division of the Ministry of inspection (10), total
",男性
42,A50,An,sanyu,An sanyu,male,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Director,"Second Department of Jiqu, Henan Province","Excerpted from the Communist Party of Henan Province, “the original right flower name on the table” (1979.3.1)","A An sanyu, Male, Executive Director of the Second Department of Jiqu, Henan Province
",男性
43,A51,An,shaoxian,An shaoxian,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from the “broken home, friends,”","A An shaoxian, Heilujiang Province, Xinjiang Cocoa Haibureau built
",未知
44,A52,An,shinong,An shinong,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"From Song Yongyi main: “anti-right top secret document 1"" and so on","A An shinong, Hefei City, Anhui Province, China
",未知
45,A53,An,shirong Shih,An shirong Shih,male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from the People's Committee of Bishan: “Bishan Yancheng Tzu four members (right), index name 1958.11.15""","A An shirong Shih, male, Sichuan Province, Bishan, Yancheng Sanshou Sanshe
",男性
46,A54,An,shixi Sai Hei,An shixi Sai Hei,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from the Provincial Committee of the Jiusan Society: “1978-1989” (2018.3.7)
","A An shixi Sai Hei, Shenghuan Branch, Jiusanshae
",未知
47,A55,An,shi,An shi,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Guanji, Qiu Yingqian: “All Forms of Right”","A An shi, Hebei Province, a certain bit of Jiakou
",未知
48,A56,An,shouhua,An shouhua,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excerpted from Anqian, etc.: “More than 120 right-wing elderly people in Hunan wrote to Hu","A An shouhua , Hunan Xinhua Junior High School 
",未知
49,A57,An,shuda,An shuda,male,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from Wentao: “He is a child”,"A An shuda, male, metallurgical work
",男性
50,A58,An,shude,An shude,Unknown,Unknown,Unknown,1957.0,Unknown,Unknown,Unknown,Unknown,Unknown,Excerpted from the Central Committee of the Communist Party of China (1958.2.9),"A An shude, Chatzabe
",未知
